	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_99	9-TaxaFilter_99	10-MultipletonsFilter_99	11-Subsampling_99	12-Lulu_99
WSH185_S155_L001	77119	62682	62682	62682 (11698 uniques)	62018 (441 uniques)	57850 (777 uniques)	25425 (659 uniques)	25389 (645 uniques)	25389 (645 uniques)	25389 (213 uniques)	13498 (157 uniques)	13495 (155 uniques)	1200 (125 uniques)	1200 (102 uniques)
WSH186_S167_L001	18449	12816	12816	12816 (3747 uniques)	12285 (173 uniques)	8481 (96 uniques)	1221 (45 uniques)	1221 (45 uniques)	1221 (45 uniques)	1221 (41 uniques)	968 (36 uniques)	968 (36 uniques)	/	/
WSH187_S179_L001	30998	25230	25230	25230 (6600 uniques)	24598 (360 uniques)	20419 (354 uniques)	8657 (273 uniques)	8657 (273 uniques)	8657 (273 uniques)	8657 (119 uniques)	2886 (86 uniques)	2884 (85 uniques)	1200 (83 uniques)	1200 (79 uniques)
WSH188_S191_L001	28631	21405	21405	21405 (5240 uniques)	20977 (229 uniques)	17678 (195 uniques)	3838 (132 uniques)	3838 (132 uniques)	3838 (132 uniques)	3838 (69 uniques)	1337 (46 uniques)	1337 (46 uniques)	1200 (46 uniques)	1200 (45 uniques)
WSH189_S108_L001	35398	26311	26311	26311 (3280 uniques)	26248 (32 uniques)	26162 (67 uniques)	167 (14 uniques)	167 (14 uniques)	167 (14 uniques)	167 (14 uniques)	129 (11 uniques)	129 (11 uniques)	/	/
WSH190_S120_L001	46350	35753	35753	35753 (4499 uniques)	35576 (88 uniques)	35075 (89 uniques)	485 (22 uniques)	485 (22 uniques)	485 (22 uniques)	485 (21 uniques)	369 (18 uniques)	369 (18 uniques)	/	/
WSH191_S132_L001	38990	31736	31736	31736 (4006 uniques)	31554 (56 uniques)	31289 (65 uniques)	221 (12 uniques)	221 (12 uniques)	221 (12 uniques)	221 (12 uniques)	145 (11 uniques)	145 (11 uniques)	/	/
WSH192_S144_L001	36949	28050	28050	28050 (3642 uniques)	27950 (50 uniques)	27705 (66 uniques)	129 (8 uniques)	129 (8 uniques)	129 (8 uniques)	129 (8 uniques)	102 (7 uniques)	102 (7 uniques)	/	/
WSH193_S156_L001	47423	37957	37957	37957 (5063 uniques)	37765 (98 uniques)	37134 (184 uniques)	3464 (116 uniques)	3464 (116 uniques)	3464 (116 uniques)	3464 (36 uniques)	3428 (34 uniques)	3424 (32 uniques)	1200 (31 uniques)	1200 (22 uniques)
WSH194_S168_L001	36178	27911	27911	27911 (3830 uniques)	27666 (80 uniques)	26865 (73 uniques)	175 (10 uniques)	175 (10 uniques)	175 (10 uniques)	175 (10 uniques)	154 (9 uniques)	154 (9 uniques)	/	/
WSH195_S180_L001	42646	33622	33622	33622 (4903 uniques)	33391 (67 uniques)	32936 (201 uniques)	3723 (136 uniques)	3723 (136 uniques)	3723 (136 uniques)	3723 (32 uniques)	3700 (31 uniques)	3700 (31 uniques)	1200 (31 uniques)	1200 (22 uniques)
WSH196_S192_L001	46312	34557	34557	34557 (4302 uniques)	34391 (58 uniques)	33979 (98 uniques)	205 (10 uniques)	205 (10 uniques)	205 (10 uniques)	205 (10 uniques)	182 (9 uniques)	182 (9 uniques)	/	/
WSH201_S193_L001	18649	13473	13473	13473 (2609 uniques)	13171 (68 uniques)	12108 (61 uniques)	449 (10 uniques)	449 (10 uniques)	449 (10 uniques)	449 (8 uniques)	449 (8 uniques)	449 (8 uniques)	/	/
WSH202_S200_L001	21954	16899	16899	16899 (3071 uniques)	16646 (82 uniques)	15568 (69 uniques)	370 (13 uniques)	370 (13 uniques)	370 (13 uniques)	370 (11 uniques)	368 (10 uniques)	368 (10 uniques)	/	/
WSH203_S207_L001	37369	28858	28858	28858 (4795 uniques)	28547 (133 uniques)	27333 (114 uniques)	2305 (51 uniques)	2305 (51 uniques)	2305 (51 uniques)	2305 (35 uniques)	2252 (33 uniques)	2252 (33 uniques)	1200 (32 uniques)	1200 (31 uniques)
WSH204_S214_L001	23743	17553	17553	17553 (3614 uniques)	17295 (124 uniques)	15615 (98 uniques)	1981 (43 uniques)	1981 (43 uniques)	1981 (43 uniques)	1981 (32 uniques)	1977 (31 uniques)	1977 (31 uniques)	1200 (31 uniques)	1200 (30 uniques)
WSH205_S221_L001	24300	18698	18698	18698 (3867 uniques)	18384 (144 uniques)	16647 (133 uniques)	3332 (76 uniques)	3332 (76 uniques)	3332 (76 uniques)	3332 (51 uniques)	3332 (51 uniques)	3332 (51 uniques)	1200 (49 uniques)	1200 (41 uniques)
WSH206_S228_L001	22013	16789	16789	16789 (4007 uniques)	16488 (171 uniques)	14320 (174 uniques)	5102 (115 uniques)	5102 (115 uniques)	5102 (115 uniques)	5102 (64 uniques)	5094 (63 uniques)	5094 (63 uniques)	1200 (62 uniques)	1200 (59 uniques)
WSH207_S235_L001	20457	16931	16931	16931 (4866 uniques)	16666 (168 uniques)	15056 (203 uniques)	7560 (148 uniques)	7560 (148 uniques)	7560 (148 uniques)	7560 (74 uniques)	7560 (74 uniques)	7560 (74 uniques)	1200 (70 uniques)	1200 (61 uniques)
WSH208_S242_L001	45718	35186	35186	35186 (7407 uniques)	34750 (196 uniques)	33149 (399 uniques)	15305 (332 uniques)	15305 (332 uniques)	15305 (332 uniques)	15305 (106 uniques)	15293 (105 uniques)	15291 (104 uniques)	1200 (92 uniques)	1200 (70 uniques)
WSH209_S194_L001	33886	25751	25751	25751 (6135 uniques)	25260 (261 uniques)	23727 (302 uniques)	11677 (243 uniques)	11677 (243 uniques)	11677 (243 uniques)	11677 (128 uniques)	11674 (127 uniques)	11673 (126 uniques)	1200 (113 uniques)	1200 (100 uniques)
WSH210_S201_L001	22944	18032	18032	18032 (4849 uniques)	17577 (243 uniques)	15782 (264 uniques)	9614 (208 uniques)	9614 (208 uniques)	9614 (208 uniques)	9614 (109 uniques)	9584 (108 uniques)	9582 (107 uniques)	1200 (99 uniques)	1200 (88 uniques)
WSH211_S208_L001	32827	25962	25962	25962 (6329 uniques)	25498 (303 uniques)	23524 (343 uniques)	15861 (290 uniques)	15843 (283 uniques)	15843 (283 uniques)	15843 (143 uniques)	15761 (140 uniques)	15755 (137 uniques)	1200 (118 uniques)	1200 (103 uniques)
WSH212_S215_L001	20725	15814	15814	15814 (3896 uniques)	15435 (199 uniques)	13540 (164 uniques)	6262 (113 uniques)	6262 (113 uniques)	6262 (113 uniques)	6262 (70 uniques)	6262 (70 uniques)	6262 (70 uniques)	1200 (62 uniques)	1200 (57 uniques)
WSH213_S222_L001	18078	13715	13715	13715 (3608 uniques)	13276 (220 uniques)	11262 (186 uniques)	4604 (129 uniques)	4604 (129 uniques)	4604 (129 uniques)	4604 (76 uniques)	4533 (71 uniques)	4533 (71 uniques)	1200 (63 uniques)	1200 (59 uniques)
WSH214_S229_L001	40876	33250	33250	33250 (7836 uniques)	32687 (418 uniques)	28445 (397 uniques)	14951 (340 uniques)	14871 (329 uniques)	14871 (329 uniques)	14871 (191 uniques)	14155 (177 uniques)	14151 (175 uniques)	1200 (132 uniques)	1200 (120 uniques)
WSH215_S236_L001	24552	18795	18795	18795 (3803 uniques)	18433 (165 uniques)	16740 (105 uniques)	1603 (45 uniques)	1603 (45 uniques)	1603 (45 uniques)	1603 (35 uniques)	1479 (30 uniques)	1477 (29 uniques)	1200 (29 uniques)	1200 (28 uniques)
WSH216_S243_L001	17213	13311	13311	13311 (4369 uniques)	12568 (307 uniques)	9786 (184 uniques)	4911 (132 uniques)	4911 (132 uniques)	4911 (132 uniques)	4911 (97 uniques)	4054 (86 uniques)	4054 (86 uniques)	1200 (85 uniques)	1200 (85 uniques)
