GO_ID,term,GOSlim_bin,aspect
GO:0000053,argininosuccinate metabolic process,other metabolic processes,P
GO:0000054,ribosome export from nucleus,transport,P
GO:0000055,ribosomal large subunit export from nucleus,transport,P
GO:0000056,ribosomal small subunit export from nucleus,transport,P
GO:0000059,"protein import into nucleus, docking",transport,P
GO:0000059,"protein import into nucleus, docking",cell organization and biogenesis,P
GO:0000060,"protein import into nucleus, translocation",transport,P
GO:0000061,"protein import into nucleus, substrate release",transport,P
GO:0000061,"protein import into nucleus, substrate release",cell organization and biogenesis,P
GO:0000062,acyl-CoA binding,other molecular function,F
GO:0000064,L-ornithine transmembrane transporter activity,transporter activity,F
GO:0000066,mitochondrial ornithine transport,transport,P
GO:0000070,mitotic sister chromatid segregation,cell cycle and proliferation,P
GO:0000070,mitotic sister chromatid segregation,cell organization and biogenesis,P
GO:0000072,M phase specific microtubule process,cell cycle and proliferation,P
GO:0000073,spindle pole body separation,cell cycle and proliferation,P
GO:0000073,spindle pole body separation,cell organization and biogenesis,P
GO:0000075,cell cycle checkpoint,cell cycle and proliferation,P
GO:0000076,DNA replication checkpoint,cell cycle and proliferation,P
GO:0000076,DNA replication checkpoint,DNA metabolism,P
GO:0000077,DNA damage checkpoint,cell cycle and proliferation,P
GO:0000077,DNA damage checkpoint,signal transduction,P
GO:0000077,DNA damage checkpoint,stress response,P
GO:0000078,cell morphogenesis checkpoint,cell cycle and proliferation,P
GO:0000078,cell morphogenesis checkpoint,cell organization and biogenesis,P
GO:0000079,regulation of cyclin-dependent protein kinase activity,cell cycle and proliferation,P
GO:0000079,regulation of cyclin-dependent protein kinase activity,other metabolic processes,P
GO:0000080,G1 phase of mitotic cell cycle,cell cycle and proliferation,P
GO:0000082,G1/S transition of mitotic cell cycle,cell cycle and proliferation,P
GO:0000083,regulation of transcription of G1/S-phase of mitotic cell cycle,cell cycle and proliferation,P
GO:0000083,regulation of transcription of G1/S-phase of mitotic cell cycle,RNA metabolism,P
GO:0000084,S phase of mitotic cell cycle,cell cycle and proliferation,P
GO:0000085,G2 phase of mitotic cell cycle,cell cycle and proliferation,P
GO:0000086,G2/M transition of mitotic cell cycle,cell cycle and proliferation,P
GO:0000087,M phase of mitotic cell cycle,cell cycle and proliferation,P
GO:0000228,nuclear chromosome,nucleus,C
GO:0000088,mitotic prophase,cell cycle and proliferation,P
GO:0000088,mitotic prophase,cell organization and biogenesis,P
GO:0000089,mitotic metaphase,cell cycle and proliferation,P
GO:0000089,mitotic metaphase,cell organization and biogenesis,P
GO:0000090,mitotic anaphase,cell cycle and proliferation,P
GO:0000090,mitotic anaphase,cell organization and biogenesis,P
GO:0000091,mitotic anaphase A,cell cycle and proliferation,P
GO:0000091,mitotic anaphase A,cell organization and biogenesis,P
GO:0000092,mitotic anaphase B,cell cycle and proliferation,P
GO:0000092,mitotic anaphase B,cell organization and biogenesis,P
GO:0000093,mitotic telophase,cell cycle and proliferation,P
GO:0000093,mitotic telophase,cell organization and biogenesis,P
GO:0000095,S-adenosylmethionine transmembrane transporter activity,transporter activity,F
GO:0000096,sulfur amino acid metabolic process,other metabolic processes,P
GO:0000097,sulfur amino acid biosynthetic process,other metabolic processes,P
GO:0000098,sulfur amino acid catabolic process,other metabolic processes,P
GO:0000099,sulfur amino acid transmembrane transporter activity,transporter activity,F
GO:0000100,S-methylmethionine transmembrane transporter activity,transporter activity,F
GO:0000101,sulfur amino acid transport,transport,P
GO:0000102,L-methionine secondary active transmembrane transporter activity,transporter activity,F
GO:0000103,sulfate assimilation,other metabolic processes,P
GO:0000104,succinate dehydrogenase activity,other molecular function,F
GO:0000105,histidine biosynthetic process,other metabolic processes,P
GO:0000107,imidazoleglycerol-phosphate synthase activity,other molecular function,F
GO:0000108,repairosome,nucleus,C
GO:0000109,nucleotide-excision repair complex,nucleus,C
GO:0000110,nucleotide-excision repair factor 1 complex,nucleus,C
GO:0000111,nucleotide-excision repair factor 2 complex,nucleus,C
GO:0000112,nucleotide-excision repair factor 3 complex,nucleus,C
GO:0000113,nucleotide-excision repair factor 4 complex,nucleus,C
GO:0000114,regulation of transcription during G1 phase of mitotic cell cycle,cell cycle and proliferation,P
GO:0000114,regulation of transcription during G1 phase of mitotic cell cycle,RNA metabolism,P
GO:0000115,regulation of transcription during S-phase of mitotic cell cycle,cell cycle and proliferation,P
GO:0000115,regulation of transcription during S-phase of mitotic cell cycle,RNA metabolism,P
GO:0000116,regulation of transcription during G2-phase of mitotic cell cycle,cell cycle and proliferation,P
GO:0000116,regulation of transcription during G2-phase of mitotic cell cycle,RNA metabolism,P
GO:0000117,regulation of transcription during G2/M-phase of mitotic cell cycle,cell cycle and proliferation,P
GO:0000117,regulation of transcription during G2/M-phase of mitotic cell cycle,RNA metabolism,P
GO:0000118,histone deacetylase complex,nucleus,C
GO:0000119,mediator complex,nucleus,C
GO:0000120,RNA polymerase I transcription factor complex,nucleus,C
GO:0000121,glycerol-1-phosphatase activity,other molecular function,F
GO:0000122,negative regulation of transcription from RNA polymerase II promoter,RNA metabolism,P
GO:0000123,histone acetyltransferase complex,nucleus,C
GO:0000124,SAGA complex,nucleus,C
GO:0000125,PCAF complex,nucleus,C
GO:0000126,transcription factor TFIIIB complex,nucleus,C
GO:0000127,transcription factor TFIIIC complex,nucleus,C
GO:0000128,flocculation,other biological processes,P
GO:0000131,incipient cellular bud site,other cellular component,C
GO:0000132,establishment of mitotic spindle orientation,cell cycle and proliferation,P
GO:0000132,establishment of mitotic spindle orientation,cell organization and biogenesis,P
GO:0000133,polarisome,other cellular component,C
GO:0000135,septin checkpoint,cell cycle and proliferation,P
GO:0000136,"alpha-1,6-mannosyltransferase complex",ER/Golgi,C
GO:0000137,Golgi cis cisterna,ER/Golgi,C
GO:0000138,Golgi trans cisterna,ER/Golgi,C
GO:0000139,Golgi membrane,ER/Golgi,C
GO:0000139,Golgi membrane,other membranes,C
GO:0000140,acylglycerone-phosphate reductase activity,other molecular function,F
GO:0000142,cellular bud neck contractile ring,cytoskeleton,C
GO:0000144,cellular bud neck septin ring,cytoskeleton,C
GO:0000145,exocyst,other cellular component,C
GO:0000146,microfilament motor activity,cytoskeletal activity,F
GO:0000147,actin cortical patch assembly,cell organization and biogenesis,P
GO:0000148,"1,3-beta-glucan synthase complex",plasma membrane,C
GO:0000148,"1,3-beta-glucan synthase complex",other membranes,C
GO:0000149,SNARE binding,other molecular function,F
GO:0000150,recombinase activity,other molecular function,F
GO:0000151,ubiquitin ligase complex,other cellular component,C
GO:0000152,nuclear ubiquitin ligase complex,nucleus,C
GO:0000153,cytoplasmic ubiquitin ligase complex,other cellular component,C
GO:0000154,rRNA modification,RNA metabolism,P
GO:0000155,two-component sensor activity,signal transduction activity,F
GO:0000155,two-component sensor activity,kinase activity,F
GO:0000156,two-component response regulator activity,transcription regulatory activity,F
GO:0000156,two-component response regulator activity,signal transduction activity,F
GO:0000159,protein phosphatase type 2A complex,other cellular component,C
GO:0000160,two-component signal transduction system (phosphorelay),signal transduction,P
GO:0000161,MAPKKK cascade involved in osmosensory signaling pathway,signal transduction,P
GO:0000161,MAPKKK cascade involved in osmosensory signaling pathway,stress response,P
GO:0051028,mRNA transport,transport,P
GO:0000162,tryptophan biosynthetic process,other metabolic processes,P
GO:0000164,protein phosphatase type 1 complex,other cellular component,C
GO:0000165,MAPKKK cascade,signal transduction,P
GO:0000166,nucleotide binding,other molecular function,F
GO:0000167,activation of MAPKKK activity involved in osmosensory signaling pathway,signal transduction,P
GO:0000167,activation of MAPKKK activity involved in osmosensory signaling pathway,stress response,P
GO:0000167,activation of MAPKKK activity involved in osmosensory signaling pathway,other metabolic processes,P
GO:0000168,activation of MAPKK activity involved in osmosensory signaling pathway,signal transduction,P
GO:0000168,activation of MAPKK activity involved in osmosensory signaling pathway,stress response,P
GO:0000168,activation of MAPKK activity involved in osmosensory signaling pathway,protein metabolism,P
GO:0000169,activation of MAPK activity involved in osmosensory signaling pathway,signal transduction,P
GO:0000169,activation of MAPK activity involved in osmosensory signaling pathway,stress response,P
GO:0000169,activation of MAPK activity involved in osmosensory signaling pathway,protein metabolism,P
GO:0000170,sphingosine hydroxylase activity,other molecular function,F
GO:0000171,ribonuclease MRP activity,other molecular function,F
GO:0000172,ribonuclease MRP complex,other cellular component,C
GO:0000173,inactivation of MAPK activity involved in osmosensory signaling pathway,signal transduction,P
GO:0000173,inactivation of MAPK activity involved in osmosensory signaling pathway,stress response,P
GO:0000173,inactivation of MAPK activity involved in osmosensory signaling pathway,other metabolic processes,P
GO:0000175,3'-5'-exoribonuclease activity,other molecular function,F
GO:0000176,nuclear exosome (RNase complex),nucleus,C
GO:0000177,cytoplasmic exosome (RNase complex),other cytoplasmic organelle,C
GO:0000178,exosome (RNase complex),other cellular component,C
GO:0000179,"rRNA (adenine-N6,N6-)-dimethyltransferase activity",other molecular function,F
GO:0000182,rDNA binding,nucleic acid binding activity,F
GO:0000183,chromatin silencing at rDNA,RNA metabolism,P
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",RNA metabolism,P
GO:0000185,activation of MAPKKK activity,signal transduction,P
GO:0000185,activation of MAPKKK activity,other metabolic processes,P
GO:0000186,activation of MAPKK activity,signal transduction,P
GO:0000186,activation of MAPKK activity,protein metabolism,P
GO:0000187,activation of MAPK activity,signal transduction,P
GO:0000187,activation of MAPK activity,protein metabolism,P
GO:0000188,inactivation of MAPK activity,signal transduction,P
GO:0000188,inactivation of MAPK activity,other metabolic processes,P
GO:0000189,nuclear translocation of MAPK,signal transduction,P
GO:0000189,nuclear translocation of MAPK,transport,P
GO:0000196,MAPKKK cascade during cell wall biogenesis,signal transduction,P
GO:0000197,activation of MAPKKK activity during cell wall biogenesis,signal transduction,P
GO:0000197,activation of MAPKKK activity during cell wall biogenesis,other metabolic processes,P
GO:0000198,activation of MAPKK activity during cell wall biogenesis,signal transduction,P
GO:0000198,activation of MAPKK activity during cell wall biogenesis,protein metabolism,P
GO:0000199,activation of MAPK activity during cell wall biogenesis,signal transduction,P
GO:0000199,activation of MAPK activity during cell wall biogenesis,protein metabolism,P
GO:0000200,inactivation of MAPK activity during cell wall biogenesis,signal transduction,P
GO:0000200,inactivation of MAPK activity during cell wall biogenesis,other metabolic processes,P
GO:0000201,nuclear translocation of MAPK during cell wall biogenesis,signal transduction,P
GO:0000201,nuclear translocation of MAPK during cell wall biogenesis,transport,P
GO:0000208,nuclear translocation of MAPK involved in osmosensory signaling pathway,signal transduction,P
GO:0000208,nuclear translocation of MAPK involved in osmosensory signaling pathway,transport,P
GO:0000208,nuclear translocation of MAPK involved in osmosensory signaling pathway,stress response,P
GO:0000209,protein polyubiquitination,protein metabolism,P
GO:0000210,NAD+ diphosphatase activity,other molecular function,F
GO:0000212,meiotic spindle organization,cell cycle and proliferation,P
GO:0000212,meiotic spindle organization,cell organization and biogenesis,P
GO:0000213,tRNA-intron endonuclease activity,other molecular function,F
GO:0000214,tRNA-intron endonuclease complex,nucleus,C
GO:0000215,tRNA 2'-phosphotransferase activity,other molecular function,F
GO:0000216,M/G1 transition of mitotic cell cycle,cell cycle and proliferation,P
GO:0000217,DNA secondary structure binding,nucleic acid binding activity,F
GO:0000220,"vacuolar proton-transporting V-type ATPase, V0 domain",other cytoplasmic organelle,C
GO:0000220,"vacuolar proton-transporting V-type ATPase, V0 domain",other membranes,C
GO:0000221,"vacuolar proton-transporting V-type ATPase, V1 domain",other cytoplasmic organelle,C
GO:0000221,"vacuolar proton-transporting V-type ATPase, V1 domain",other membranes,C
GO:0000222,"plasma membrane proton-transporting V-type ATPase, V0 domain",plasma membrane,C
GO:0000222,"plasma membrane proton-transporting V-type ATPase, V0 domain",other membranes,C
GO:0000223,"plasma membrane proton-transporting V-type ATPase, V1 domain",plasma membrane,C
GO:0000223,"plasma membrane proton-transporting V-type ATPase, V1 domain",other membranes,C
GO:0000224,peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity,other molecular function,F
GO:0000225,N-acetylglucosaminylphosphatidylinositol deacetylase activity,other molecular function,F
GO:0000226,microtubule cytoskeleton organization,cell organization and biogenesis,P
GO:0000227,oxaloacetate secondary active transmembrane transporter activity,transporter activity,F
GO:0000229,cytoplasmic chromosome,other cellular component,C
GO:0000234,phosphoethanolamine N-methyltransferase activity,other molecular function,F
GO:0000235,astral microtubule,cytoskeleton,C
GO:0000236,mitotic prometaphase,cell cycle and proliferation,P
GO:0000236,mitotic prometaphase,cell organization and biogenesis,P
GO:0000237,leptotene,cell cycle and proliferation,P
GO:0000238,zygotene,cell cycle and proliferation,P
GO:0000239,pachytene,cell cycle and proliferation,P
GO:0000240,diplotene,cell cycle and proliferation,P
GO:0000241,diakinesis,cell cycle and proliferation,P
GO:0000242,pericentriolar material,cytoskeleton,C
GO:0000243,commitment complex,nucleus,C
GO:0000244,assembly of spliceosomal tri-snRNP,RNA metabolism,P
GO:0000244,assembly of spliceosomal tri-snRNP,cell organization and biogenesis,P
GO:0000245,spliceosome assembly,RNA metabolism,P
GO:0000245,spliceosome assembly,cell organization and biogenesis,P
GO:0000246,delta24(24-1) sterol reductase activity,other molecular function,F
GO:0000247,C-8 sterol isomerase activity,other molecular function,F
GO:0000248,C-5 sterol desaturase activity,other molecular function,F
GO:0000249,C-22 sterol desaturase activity,other molecular function,F
GO:0000250,lanosterol synthase activity,other molecular function,F
GO:0000252,C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity,other molecular function,F
GO:0000253,3-keto sterol reductase activity,other molecular function,F
GO:0000254,C-4 methylsterol oxidase activity,other molecular function,F
GO:0000255,allantoin metabolic process,other metabolic processes,P
GO:0000256,allantoin catabolic process,other metabolic processes,P
GO:0000257,nitrilase activity,other molecular function,F
GO:0000262,mitochondrial chromosome,mitochondrion,C
GO:0000266,mitochondrial fission,cell organization and biogenesis,P
GO:0000267,cell fraction,other cellular component,C
GO:0000268,peroxisome targeting sequence binding,other molecular function,F
GO:0000269,toxin export channel activity,transporter activity,F
GO:0000270,peptidoglycan metabolic process,other metabolic processes,P
GO:0000271,polysaccharide biosynthetic process,other metabolic processes,P
GO:0000272,polysaccharide catabolic process,other metabolic processes,P
GO:0000273,lipoic acid metabolic process,other metabolic processes,P
GO:0000274,"mitochondrial proton-transporting ATP synthase, stator stalk",mitochondrion,C
GO:0000274,"mitochondrial proton-transporting ATP synthase, stator stalk",other membranes,C
GO:0000275,"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)",mitochondrion,C
GO:0000275,"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)",other membranes,C
GO:0000276,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",mitochondrion,C
GO:0000276,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",other membranes,C
GO:0000277,[cytochrome c]-lysine N-methyltransferase activity,other molecular function,F
GO:0000278,mitotic cell cycle,cell cycle and proliferation,P
GO:0000279,M phase,cell cycle and proliferation,P
GO:0000280,nuclear division,cell organization and biogenesis,P
GO:0000281,cytokinesis after mitosis,cell cycle and proliferation,P
GO:0000282,cellular bud site selection,cell organization and biogenesis,P
GO:0000285,1-phosphatidylinositol-3-phosphate 5-kinase activity,kinase activity,F
GO:0000286,alanine dehydrogenase activity,other molecular function,F
GO:0000287,magnesium ion binding,other molecular function,F
GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",RNA metabolism,P
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,RNA metabolism,P
GO:0000290,deadenylation-dependent decapping of nuclear-transcribed mRNA,RNA metabolism,P
GO:0000291,"nuclear-transcribed mRNA catabolic process, exonucleolytic",RNA metabolism,P
GO:0000292,RNA fragment catabolic process,RNA metabolism,P
GO:0000293,ferric-chelate reductase activity,other molecular function,F
GO:0000294,"nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay",RNA metabolism,P
GO:0000295,adenine nucleotide transmembrane transporter activity,transporter activity,F
GO:0000296,spermine transport,transport,P
GO:0000297,spermine transmembrane transporter activity,transporter activity,F
GO:0000298,endopolyphosphatase activity,other molecular function,F
GO:0000299,integral to membrane of membrane fraction,other membranes,C
GO:0000300,peripheral to membrane of membrane fraction,other membranes,C
GO:0000301,"retrograde transport, vesicle recycling within Golgi",transport,P
GO:0000302,response to reactive oxygen species,stress response,P
GO:0000303,response to superoxide,stress response,P
GO:0000304,response to singlet oxygen,stress response,P
GO:0000305,response to oxygen radical,stress response,P
GO:0000306,extrinsic to vacuolar membrane,other cytoplasmic organelle,C
GO:0000306,extrinsic to vacuolar membrane,other membranes,C
GO:0000307,cyclin-dependent protein kinase holoenzyme complex,other cellular component,C
GO:0000308,cytoplasmic cyclin-dependent protein kinase holoenzyme complex,other cellular component,C
GO:0000309,nicotinamide-nucleotide adenylyltransferase activity,other molecular function,F
GO:0000310,xanthine phosphoribosyltransferase activity,other molecular function,F
GO:0000311,plastid large ribosomal subunit,translational apparatus,C
GO:0000312,plastid small ribosomal subunit,translational apparatus,C
GO:0000313,organellar ribosome,translational apparatus,C
GO:0000314,organellar small ribosomal subunit,translational apparatus,C
GO:0000315,organellar large ribosomal subunit,translational apparatus,C
GO:0000316,sulfite transport,transport,P
GO:0000317,methionine-S-oxide reductase activity,other molecular function,F
GO:0000318,protein-methionine-R-oxide reductase activity,other molecular function,F
GO:0000319,sulfite transmembrane transporter activity,transporter activity,F
GO:0000320,re-entry into mitotic cell cycle,cell cycle and proliferation,P
GO:0000321,re-entry into mitotic cell cycle after pheromone arrest,cell cycle and proliferation,P
GO:0000321,re-entry into mitotic cell cycle after pheromone arrest,signal transduction,P
GO:0000322,storage vacuole,other cytoplasmic organelle,C
GO:0000323,lytic vacuole,other cytoplasmic organelle,C
GO:0000324,fungal-type vacuole,other cytoplasmic organelle,C
GO:0000325,plant-type vacuole,other cytoplasmic organelle,C
GO:0000326,protein storage vacuole,other cytoplasmic organelle,C
GO:0000327,lytic vacuole within protein storage vacuole,other cytoplasmic organelle,C
GO:0000328,fungal-type vacuole lumen,other cytoplasmic organelle,C
GO:0000329,fungal-type vacuole membrane,other cytoplasmic organelle,C
GO:0000329,fungal-type vacuole membrane,other membranes,C
GO:0000330,plant-type vacuole lumen,other cytoplasmic organelle,C
GO:0000331,contractile vacuole,other cytoplasmic organelle,C
GO:0000332,template for synthesis of G-rich strand of telomere DNA activity,nucleic acid binding activity,F
GO:0000333,telomerase catalytic core complex,nucleus,C
GO:0000334,"3-hydroxyanthranilate 3,4-dioxygenase activity",other molecular function,F
GO:0000335,"negative regulation of transposition, DNA-mediated",DNA metabolism,P
GO:0000336,"positive regulation of transposition, DNA-mediated",DNA metabolism,P
GO:0000337,"regulation of transposition, DNA-mediated",DNA metabolism,P
GO:0000338,protein deneddylation,protein metabolism,P
GO:0000339,RNA cap binding,nucleic acid binding activity,F
GO:0000340,RNA 7-methylguanosine cap binding,nucleic acid binding activity,F
GO:0000341,RNA trimethylguanosine cap binding,nucleic acid binding activity,F
GO:0000342,RNA cap 4 binding,nucleic acid binding activity,F
GO:0000343,plastid-encoded plastid RNA polymerase complex A,other cellular component,C
GO:0000344,plastid-encoded plastid RNA polymerase complex B,other cellular component,C
GO:0000345,cytosolic DNA-directed RNA polymerase complex,cytosol,C
GO:0000346,transcription export complex,nucleus,C
GO:0000347,THO complex,nucleus,C
GO:0000348,nuclear mRNA branch site recognition,RNA metabolism,P
GO:0000348,nuclear mRNA branch site recognition,cell organization and biogenesis,P
GO:0000349,generation of catalytic spliceosome for first transesterification step,RNA metabolism,P
GO:0000349,generation of catalytic spliceosome for first transesterification step,cell organization and biogenesis,P
GO:0000350,generation of catalytic spliceosome for second transesterification step,RNA metabolism,P
GO:0000350,generation of catalytic spliceosome for second transesterification step,cell organization and biogenesis,P
GO:0000352,trans assembly of SL-containing precatalytic spliceosome,RNA metabolism,P
GO:0000352,trans assembly of SL-containing precatalytic spliceosome,cell organization and biogenesis,P
GO:0000353,formation of quadruple SL/U4/U5/U6 snRNP,RNA metabolism,P
GO:0000353,formation of quadruple SL/U4/U5/U6 snRNP,cell organization and biogenesis,P
GO:0000354,cis assembly of pre-catalytic spliceosome,RNA metabolism,P
GO:0000354,cis assembly of pre-catalytic spliceosome,cell organization and biogenesis,P
GO:0000365,"nuclear mRNA trans splicing, via spliceosome",RNA metabolism,P
GO:0000366,intergenic nuclear mRNA trans splicing,RNA metabolism,P
GO:0000372,Group I intron splicing,RNA metabolism,P
GO:0000373,Group II intron splicing,RNA metabolism,P
GO:0000374,Group III intron splicing,RNA metabolism,P
GO:0000375,"RNA splicing, via transesterification reactions",RNA metabolism,P
GO:0000376,"RNA splicing, via transesterification reactions with guanosine as nucleophile",RNA metabolism,P
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",RNA metabolism,P
GO:0000378,RNA exon ligation,RNA metabolism,P
GO:0000379,tRNA-type intron splice site recognition and cleavage,RNA metabolism,P
GO:0000380,"alternative nuclear mRNA splicing, via spliceosome",RNA metabolism,P
GO:0000381,"regulation of alternative nuclear mRNA splicing, via spliceosome",RNA metabolism,P
GO:0000384,first spliceosomal transesterification activity,other molecular function,F
GO:0000386,second spliceosomal transesterification activity,other molecular function,F
GO:0000387,spliceosomal snRNP biogenesis,RNA metabolism,P
GO:0000388,spliceosome conformational change to release U4 (or U4atac) and U1 (or U11),RNA metabolism,P
GO:0000388,spliceosome conformational change to release U4 (or U4atac) and U1 (or U11),cell organization and biogenesis,P
GO:0000389,nuclear mRNA 3'-splice site recognition,RNA metabolism,P
GO:0000389,nuclear mRNA 3'-splice site recognition,cell organization and biogenesis,P
GO:0000390,spliceosome disassembly,RNA metabolism,P
GO:0000390,spliceosome disassembly,cell organization and biogenesis,P
GO:0000393,spliceosomal conformational changes to generate catalytic conformation,RNA metabolism,P
GO:0000393,spliceosomal conformational changes to generate catalytic conformation,cell organization and biogenesis,P
GO:0000394,"RNA splicing, via endonucleolytic cleavage and ligation",RNA metabolism,P
GO:0000395,nuclear mRNA 5'-splice site recognition,RNA metabolism,P
GO:0000395,nuclear mRNA 5'-splice site recognition,cell organization and biogenesis,P
GO:0000398,"nuclear mRNA splicing, via spliceosome",RNA metabolism,P
GO:0000399,cellular bud neck septin structure,other cellular component,C
GO:0000400,four-way junction DNA binding,nucleic acid binding activity,F
GO:0000401,open form four-way junction DNA binding,nucleic acid binding activity,F
GO:0000402,crossed form four-way junction DNA binding,nucleic acid binding activity,F
GO:0000403,Y-form DNA binding,nucleic acid binding activity,F
GO:0000404,loop DNA binding,nucleic acid binding activity,F
GO:0000405,bubble DNA binding,nucleic acid binding activity,F
GO:0000406,double-strand/single-strand DNA junction binding,nucleic acid binding activity,F
GO:0000407,pre-autophagosomal structure,other cellular component,C
GO:0000408,EKC/KEOPS protein complex,other cellular component,C
GO:0000409,regulation of transcription by galactose,RNA metabolism,P
GO:0000410,negative regulation of transcription by galactose,RNA metabolism,P
GO:0000411,positive regulation of transcription by galactose,RNA metabolism,P
GO:0000412,histone peptidyl-prolyl isomerization,protein metabolism,P
GO:0000412,histone peptidyl-prolyl isomerization,cell organization and biogenesis,P
GO:0000413,protein peptidyl-prolyl isomerization,protein metabolism,P
GO:0000414,regulation of histone H3-K36 methylation,protein metabolism,P
GO:0000414,regulation of histone H3-K36 methylation,cell organization and biogenesis,P
GO:0000415,negative regulation of histone H3-K36 methylation,protein metabolism,P
GO:0000415,negative regulation of histone H3-K36 methylation,cell organization and biogenesis,P
GO:0000416,positive regulation of histone H3-K36 methylation,protein metabolism,P
GO:0000416,positive regulation of histone H3-K36 methylation,cell organization and biogenesis,P
GO:0000417,HIR complex,nucleus,C
GO:0000418,DNA-directed RNA polymerase IV complex,nucleus,C
GO:0000419,DNA-directed RNA polymerase IVb complex,nucleus,C
GO:0000420,DNA-directed RNA polymerase IVa complex,nucleus,C
GO:0000421,autophagic vacuole membrane,other cytoplasmic organelle,C
GO:0000421,autophagic vacuole membrane,other membranes,C
GO:0000422,mitochondrion degradation,other metabolic processes,P
GO:0000423,macromitophagy,stress response,P
GO:0000423,macromitophagy,other metabolic processes,P
GO:0000424,micromitophagy,other metabolic processes,P
GO:0000424,micromitophagy,cell organization and biogenesis,P
GO:0000425,macropexophagy,stress response,P
GO:0000425,macropexophagy,other metabolic processes,P
GO:0000425,macropexophagy,cell organization and biogenesis,P
GO:0000426,micropexophagy,other metabolic processes,P
GO:0000426,micropexophagy,cell organization and biogenesis,P
GO:0000427,plastid-encoded plastid RNA polymerase complex,other cellular component,C
GO:0000428,DNA-directed RNA polymerase complex,other cellular component,C
GO:0000429,regulation of transcription from RNA polymerase II promoter by carbon catabolites,RNA metabolism,P
GO:0000430,regulation of transcription from RNA polymerase II promoter by glucose,RNA metabolism,P
GO:0000431,regulation of transcription from RNA polymerase II promoter by galactose,RNA metabolism,P
GO:0000432,positive regulation of transcription from RNA polymerase II promoter by glucose,RNA metabolism,P
GO:0000433,negative regulation of transcription from RNA polymerase II promoter by glucose,RNA metabolism,P
GO:0000434,negative regulation of transcription from RNA polymerase II promoter by galactose,RNA metabolism,P
GO:0000435,positive regulation of transcription from RNA polymerase II promoter by galactose,RNA metabolism,P
