accession	study	object_status	bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR22294920	SRP407975	new	PRJNA900235	SAMN31685125	WSH082	AH20	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH082_S23_L001_R1_001.fastq.gz	WSH082_S23_L001_R2_001.fastq.gz				
SRR22294918	SRP407975	new	PRJNA900235	SAMN31685126	WSH083	AH21	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH083_S35_L001_R1_001.fastq.gz	WSH083_S35_L001_R2_001.fastq.gz				
SRR22294917	SRP407975	new	PRJNA900235	SAMN31685127	WSH084	AH22	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH084_S47_L001_R1_001.fastq.gz	WSH084_S47_L001_R2_001.fastq.gz				
SRR22294916	SRP407975	new	PRJNA900235	SAMN31685128	WSH057	AH23	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH057_S8_L001_R1_001.fastq.gz	WSH057_S8_L001_R2_001.fastq.gz				
SRR22294915	SRP407975	new	PRJNA900235	SAMN31685129	WSH058	AH24	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH058_S20_L001_R1_001.fastq.gz	WSH058_S20_L001_R2_001.fastq.gz				
SRR22294914	SRP407975	new	PRJNA900235	SAMN31685130	WSH059	AH25	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH059_S32_L001_R1_001.fastq.gz	WSH059_S32_L001_R2_001.fastq.gz				
SRR22294913	SRP407975	new	PRJNA900235	SAMN31685131	WSH056	AH26	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH056_S91_L001_R1_001.fastq.gz	WSH056_S91_L001_R2_001.fastq.gz				
SRR22294912	SRP407975	new	PRJNA900235	SAMN31685132	WSH060	AH27	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH060_S44_L001_R1_001.fastq.gz	WSH060_S44_L001_R2_001.fastq.gz				
SRR22294911	SRP407975	new	PRJNA900235	SAMN31685133	WSH061	AH28	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH061_S56_L001_R1_001.fastq.gz	WSH061_S56_L001_R2_001.fastq.gz				
SRR22294910	SRP407975	new	PRJNA900235	SAMN31685134	WSH062	AH29	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH062_S68_L001_R1_001.fastq.gz	WSH062_S68_L001_R2_001.fastq.gz				
SRR22294909	SRP407975	new	PRJNA900235	SAMN31685135	WSH063	AH30	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH063_S80_L001_R1_001.fastq.gz	WSH063_S80_L001_R2_001.fastq.gz				
SRR22294907	SRP407975	new	PRJNA900235	SAMN31685136	WSH064	AH31	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH064_S92_L001_R1_001.fastq.gz	WSH064_S92_L001_R2_001.fastq.gz				
SRR22294906	SRP407975	new	PRJNA900235	SAMN31685137	WSH068	AH32	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH068_S45_L001_R1_001.fastq.gz	WSH068_S45_L001_R2_001.fastq.gz				
SRR22294905	SRP407975	new	PRJNA900235	SAMN31685138	WSH046	AH33	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH046_S66_L001_R1_001.fastq.gz	WSH046_S66_L001_R2_001.fastq.gz				
SRR22294904	SRP407975	new	PRJNA900235	SAMN31685139	WSH050	AH34	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH050_S19_L001_R1_001.fastq.gz	WSH050_S19_L001_R2_001.fastq.gz				
SRR22294903	SRP407975	new	PRJNA900235	SAMN31685140	WSH051	AH35	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH051_S31_L001_R1_001.fastq.gz	WSH051_S31_L001_R2_001.fastq.gz				
SRR22294902	SRP407975	new	PRJNA900235	SAMN31685141	WSH047	AH36	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH047_S78_L001_R1_001.fastq.gz	WSH047_S78_L001_R2_001.fastq.gz				
SRR22294901	SRP407975	new	PRJNA900235	SAMN31685142	WSH048	AH37	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH048_S90_L001_R1_001.fastq.gz	WSH048_S90_L001_R2_001.fastq.gz				
SRR22294900	SRP407975	new	PRJNA900235	SAMN31685143	WSH052	AH38	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH052_S43_L001_R1_001.fastq.gz	WSH052_S43_L001_R2_001.fastq.gz				
SRR22294899	SRP407975	new	PRJNA900235	SAMN31685144	WSH049	AH39	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH049_S7_L001_R1_001.fastq.gz	WSH049_S7_L001_R2_001.fastq.gz				
