accession	study	object_status	bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR22293595	SRP407975	new	PRJNA900235	SAMN31685124	WSH183	AH19	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH183_S131_L001_R1_001.fastq.gz	WSH183_S131_L001_R2_001.fastq.gz				
SRR22293594	SRP407975	new	PRJNA900235	SAMN31685125	WSH214	AH20	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH214_S229_L001_R1_001.fastq.gz	WSH214_S229_L001_R2_001.fastq.gz				
SRR22293592	SRP407975	new	PRJNA900235	SAMN31685126	WSH215	AH21	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH215_S236_L001_R1_001.fastq.gz	WSH215_S236_L001_R2_001.fastq.gz				
SRR22293591	SRP407975	new	PRJNA900235	SAMN31685127	WSH216	AH22	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH216_S243_L001_R1_001.fastq.gz	WSH216_S243_L001_R2_001.fastq.gz				
SRR22293590	SRP407975	new	PRJNA900235	SAMN31685128	WSH185	AH23	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH185_S155_L001_R1_001.fastq.gz	WSH185_S155_L001_R2_001.fastq.gz				
SRR22293589	SRP407975	new	PRJNA900235	SAMN31685129	WSH186	AH24	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH186_S167_L001_R1_001.fastq.gz	WSH186_S167_L001_R2_001.fastq.gz				
SRR22293588	SRP407975	new	PRJNA900235	SAMN31685130	WSH187	AH25	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH187_S179_L001_R1_001.fastq.gz	WSH187_S179_L001_R2_001.fastq.gz				
SRR22293587	SRP407975	new	PRJNA900235	SAMN31685131	WSH184	AH26	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH184_S143_L001_R1_001.fastq.gz	WSH184_S143_L001_R2_001.fastq.gz				
SRR22293586	SRP407975	new	PRJNA900235	SAMN31685132	WSH188	AH27	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH188_S191_L001_R1_001.fastq.gz	WSH188_S191_L001_R2_001.fastq.gz				
SRR22293585	SRP407975	new	PRJNA900235	SAMN31685133	WSH189	AH28	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH189_S108_L001_R1_001.fastq.gz	WSH189_S108_L001_R2_001.fastq.gz				
SRR22293584	SRP407975	new	PRJNA900235	SAMN31685134	WSH190	AH29	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH190_S120_L001_R1_001.fastq.gz	WSH190_S120_L001_R2_001.fastq.gz				
SRR22293583	SRP407975	new	PRJNA900235	SAMN31685135	WSH191	AH30	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH191_S132_L001_R1_001.fastq.gz	WSH191_S132_L001_R2_001.fastq.gz				
SRR22293581	SRP407975	new	PRJNA900235	SAMN31685136	WSH192	AH31	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH192_S144_L001_R1_001.fastq.gz	WSH192_S144_L001_R2_001.fastq.gz				
SRR22293580	SRP407975	new	PRJNA900235	SAMN31685137	WSH196	AH32	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH196_S192_L001_R1_001.fastq.gz	WSH196_S192_L001_R2_001.fastq.gz				
SRR22293579	SRP407975	new	PRJNA900235	SAMN31685138	WSH174	AH33	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH174_S118_L001_R1_001.fastq.gz	WSH174_S118_L001_R2_001.fastq.gz				
SRR22293578	SRP407975	new	PRJNA900235	SAMN31685139	WSH178	AH34	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH178_S166_L001_R1_001.fastq.gz	WSH178_S166_L001_R2_001.fastq.gz				
SRR22293577	SRP407975	new	PRJNA900235	SAMN31685140	WSH179	AH35	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH179_S178_L001_R1_001.fastq.gz	WSH179_S178_L001_R2_001.fastq.gz				
SRR22293576	SRP407975	new	PRJNA900235	SAMN31685141	WSH175	AH36	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH175_S130_L001_R1_001.fastq.gz	WSH175_S130_L001_R2_001.fastq.gz				
SRR22293575	SRP407975	new	PRJNA900235	SAMN31685142	WSH176	AH37	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH176_S142_L001_R1_001.fastq.gz	WSH176_S142_L001_R2_001.fastq.gz				
SRR22293574	SRP407975	new	PRJNA900235	SAMN31685143	WSH180	AH38	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH180_S190_L001_R1_001.fastq.gz	WSH180_S190_L001_R2_001.fastq.gz				
SRR22293573	SRP407975	new	PRJNA900235	SAMN31685144	WSH177	AH39	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH177_S154_L001_R1_001.fastq.gz	WSH177_S154_L001_R2_001.fastq.gz				
