accession	study	object_status	bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR22293479	SRP407975	new	PRJNA900235	SAMN31685118	AH13	AH13	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH13_S44_L002_R1_001.fastq.gz					
SRR22293478	SRP407975	new	PRJNA900235	SAMN31685119	AH14	AH14	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH14_S45_L002_R1_001.fastq.gz					
SRR22293477	SRP407975	new	PRJNA900235	SAMN31685120	AH15	AH15	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH15_S46_L002_R1_001.fastq.gz					
SRR22293476	SRP407975	new	PRJNA900235	SAMN31685121	AH16	AH16	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH16_S47_L002_R1_001.fastq.gz					
SRR22293475	SRP407975	new	PRJNA900235	SAMN31685122	AH17	AH17	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH17_S48_L002_R1_001.fastq.gz					
SRR22293474	SRP407975	new	PRJNA900235	SAMN31685123	AH18	AH18	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH18_S49_L002_R1_001.fastq.gz					
SRR22293473	SRP407975	new	PRJNA900235	SAMN31685124	AH19	AH19	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH19_S50_L002_R1_001.fastq.gz					
SRR22293472	SRP407975	new	PRJNA900235	SAMN31685125	AH20	AH20	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH20_S51_L002_R1_001.fastq.gz					
SRR22293470	SRP407975	new	PRJNA900235	SAMN31685126	AH21	AH21	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH21_S52_L002_R1_001.fastq.gz					
SRR22293469	SRP407975	new	PRJNA900235	SAMN31685127	AH22	AH22	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH22_S53_L002_R1_001.fastq.gz					
SRR22293468	SRP407975	new	PRJNA900235	SAMN31685128	AH23	AH23	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH23_S54_L002_R1_001.fastq.gz					
SRR22293467	SRP407975	new	PRJNA900235	SAMN31685129	AH24	AH24	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH24_S55_L002_R1_001.fastq.gz					
SRR22293466	SRP407975	new	PRJNA900235	SAMN31685130	AH25	AH25	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH25_S56_L002_R1_001.fastq.gz					
SRR22293465	SRP407975	new	PRJNA900235	SAMN31685131	AH26	AH26	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH26_S57_L002_R1_001.fastq.gz					
SRR22293464	SRP407975	new	PRJNA900235	SAMN31685132	AH27	AH27	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH27_S58_L002_R1_001.fastq.gz					
SRR22293463	SRP407975	new	PRJNA900235	SAMN31685133	AH28	AH28	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH28_S59_L002_R1_001.fastq.gz					
SRR22293462	SRP407975	new	PRJNA900235	SAMN31685134	AH29	AH29	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH29_S60_L002_R1_001.fastq.gz					
SRR22293461	SRP407975	new	PRJNA900235	SAMN31685135	AH30	AH30	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH30_S61_L002_R1_001.fastq.gz					
SRR22293459	SRP407975	new	PRJNA900235	SAMN31685136	AH31	AH31	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH31_S62_L002_R1_001.fastq.gz					
SRR22293458	SRP407975	new	PRJNA900235	SAMN31685137	AH32	AH32	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH32_S63_L002_R1_001.fastq.gz					
SRR22293457	SRP407975	new	PRJNA900235	SAMN31685138	AH33	AH33	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH33_S64_L002_R1_001.fastq.gz					
SRR22293456	SRP407975	new	PRJNA900235	SAMN31685139	AH34	AH34	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH34_S65_L002_R1_001.fastq.gz					
SRR22293455	SRP407975	new	PRJNA900235	SAMN31685140	AH35	AH35	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH35_S66_L002_R1_001.fastq.gz					
SRR22293454	SRP407975	new	PRJNA900235	SAMN31685141	AH36	AH36	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH36_S67_L002_R1_001.fastq.gz					
SRR22293453	SRP407975	new	PRJNA900235	SAMN31685142	AH37	AH37	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH37_S68_L002_R1_001.fastq.gz					
SRR22293452	SRP407975	new	PRJNA900235	SAMN31685143	AH38	AH38	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH38_S69_L002_R1_001.fastq.gz					
SRR22293451	SRP407975	new	PRJNA900235	SAMN31685144	AH39	AH39	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH39_S70_L002_R1_001.fastq.gz					
