GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust,ParentTerm,pattern,percHits
GO:0072524,1.325772549802421e-5,0.999995603706374,33,75,pyridine-containing compound metabolic process,BP,0.0023552474420122,organonitrogen compound biosynthetic process,Late,44
GO:0033500,1.3967288475442171e-5,0.999994352776694,45,115,carbohydrate homeostasis,BP,0.00245811223627151,glucose homeostasis,Late,39.130434782608695
GO:0010257,2.0027736340627655e-5,0.9999966069905,16,27,NADH dehydrogenase complex assembly,BP,0.00339767840567891,mitochondrial respiratory chain complex I assembly,Late,59.25925925925925
GO:0032981,2.0027736340627655e-5,0.9999966069905,16,27,mitochondrial respiratory chain complex I assembly,BP,0.00339767840567891,mitochondrial respiratory chain complex I assembly,Late,59.25925925925925
GO:0006739,2.037896930657633e-5,0.999996541908921,16,27,NADP metabolic process,BP,0.00342639616975124,organonitrogen compound biosynthetic process,Late,59.25925925925925
GO:0006811,2.2822635832420263e-5,0.9999862175281222,129,429,monoatomic ion transport,BP,0.00380330137486996,monoatomic ion transport,Late,30.069930069930066
GO:0019637,2.31532952767274e-5,0.9999856646985426,144,490,organophosphate metabolic process,BP,0.00382455880136889,ATP metabolic process,Late,29.38775510204082
GO:0045333,2.4866209410728743e-5,0.9999908514912382,36,88,cellular respiration,BP,0.00407178773402985,oxidative phosphorylation,Late,40.909090909090914
GO:0042776,2.8969921395398726e-5,0.9999979287737194,10,13,proton motive force-driven mitochondrial ATP synthesis,BP,0.00462315754065045,ATP metabolic process,Late,76.92307692307693
GO:0019439,3.794759859023808e-5,0.999979460613783,84,259,aromatic compound catabolic process,BP,0.00590571263679977,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",Late,32.432432432432435
GO:0055086,3.970765178705712e-5,0.999976408486744,113,373,nucleobase-containing small molecule metabolic process,BP,0.00612897369509895,small molecule metabolic process,Late,30.29490616621984
GO:0006887,4.2022353354826544e-5,0.9999756026911012,103,330,exocytosis,BP,0.00638163658084466,exocytosis,Late,31.212121212121215
GO:0045055,4.420288755055197e-5,0.9999747050211826,97,308,regulated exocytosis,BP,0.00665907660371555,exocytosis,Late,31.493506493506494
GO:0009206,4.51894272443582e-5,0.9999880131399131,22,45,purine ribonucleoside triphosphate biosynthetic process,BP,0.00675366749554372,ATP metabolic process,Late,48.888888888888886
GO:0042407,5.137097072910025e-5,0.9999936778211078,12,18,cristae formation,BP,0.00761706102204477,ribosome assembly,Late,66.66666666666666
GO:0034220,5.2720437278212754e-5,0.9999696557485076,95,303,monoatomic ion transmembrane transport,BP,0.00775608245614081,monoatomic ion transport,Late,31.353135313531354
GO:0044270,5.731539178199025e-5,0.9999684791149946,82,254,cellular nitrogen compound catabolic process,BP,0.00823897818814243,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",Late,32.28346456692913
GO:0098869,6.476551548261483e-5,0.9999836868218804,20,40,cellular oxidant detoxification,BP,0.00923938956100848,cellular oxidant detoxification,Late,50
GO:0046700,6.657679735919742e-5,0.9999631885285974,82,255,heterocycle catabolic process,BP,0.00935602739605258,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",Late,32.15686274509804
GO:0009145,6.878973419195236e-5,0.9999809821004816,22,46,purine nucleoside triphosphate biosynthetic process,BP,0.00959540358939744,ATP metabolic process,Late,47.82608695652174
GO:0030834,7.416997900810588e-5,0.9999917098963708,11,16,regulation of actin filament depolymerization,BP,0.01012097735291044,mitochondrial respiratory chain complex I assembly,Late,68.75
GO:1901701,8.267400279195636e-5,0.9999478998199466,127,432,cellular response to oxygen-containing compound,BP,0.01104137692606617,cellular oxidant detoxification,Late,29.398148148148145
GO:0072594,8.79956799981662e-5,0.9999509958984945,80,249,establishment of protein localization to organelle,BP,0.01166934260595399,SRP-dependent cotranslational protein targeting to membrane,Late,32.1285140562249
GO:0009201,1.0515602035931202e-4,0.9999696980810986,22,47,ribonucleoside triphosphate biosynthetic process,BP,0.01356296588620688,ATP metabolic process,Late,46.808510638297875
GO:1901361,1.14412713928607e-4,0.99993363142461,88,282,organic cyclic compound catabolic process,BP,0.01436337210659732,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",Late,31.20567375886525
GO:0098660,1.1988415708836776e-4,0.999934642531784,72,221,inorganic ion transmembrane transport,BP,0.01495058650417916,monoatomic ion transport,Late,32.57918552036199
GO:1901879,1.3956430841264165e-4,0.9999657884631796,18,35,regulation of protein depolymerization,BP,0.01652915403596512,mitochondrial respiratory chain complex I assembly,Late,51.42857142857142
GO:1990748,1.5296210193826344e-4,0.999957730424178,20,42,cellular detoxification,BP,0.01756359354633804,cellular oxidant detoxification,Late,47.61904761904761
GO:0005996,1.5506228094683527e-4,0.9999367270716196,35,91,monosaccharide metabolic process,BP,0.01769683522733245,small molecule metabolic process,Late,38.46153846153847
GO:0006754,1.6037103476306702e-4,0.999955504752261,20,42,ATP biosynthetic process,BP,0.01808351470433122,ATP metabolic process,Late,47.61904761904761
GO:0098662,1.8167550438371764e-4,0.9999022771136308,65,197,inorganic cation transmembrane transport,BP,0.02036387751815349,monoatomic ion transport,Late,32.99492385786802
GO:0006810,1.9136666114790565e-4,0.9998504768946056,433,1732,transport,BP,0.02084032416196339,monoatomic ion transport,Late,25
GO:0009142,2.1067705376274023e-4,0.9999327029013936,23,52,nucleoside triphosphate biosynthetic process,BP,0.02241389604184272,ATP metabolic process,Late,44.230769230769226
GO:1901700,2.216432245741443e-4,0.9998442205473026,187,686,response to oxygen-containing compound,BP,0.02344810989862758,cellular oxidant detoxification,Late,27.259475218658892
GO:0055082,2.3373166557479936e-4,0.9998601820042587,89,291,intracellular chemical homeostasis,BP,0.02458883237116786,glucose homeostasis,Late,30.584192439862544
GO:0015986,2.389298660555134e-4,0.99997093503515,10,15,proton motive force-driven ATP synthesis,BP,0.02485794645133355,ATP metabolic process,Late,66.66666666666666
GO:1901135,2.442286427091924e-4,0.999835665267859,145,520,carbohydrate derivative metabolic process,BP,0.02526961302668572,carbohydrate derivative metabolic process,Late,27.884615384615387
GO:0071326,2.480578191968727e-4,0.9999223086866632,22,49,cellular response to monosaccharide stimulus,BP,0.02552555624752081,cellular oxidant detoxification,Late,44.89795918367347
GO:0019748,2.5339897003961434e-4,0.9999111736524644,26,60,secondary metabolic process,BP,0.02593345654791292,secondary metabolic process,Late,43.333333333333336
GO:0006027,2.708554619408049e-4,0.9999436375358248,14,26,glycosaminoglycan catabolic process,BP,0.02757015785841782,carbohydrate derivative metabolic process,Late,53.84615384615385
GO:0032787,2.859889379324568e-4,0.9998406582118108,68,214,monocarboxylic acid metabolic process,BP,0.02895407360325856,small molecule metabolic process,Late,31.775700934579437
GO:0071322,3.0272078215154777e-4,0.9998969613822204,24,56,cellular response to carbohydrate stimulus,BP,0.03048414464543206,cellular oxidant detoxification,Late,42.857142857142854
GO:0046364,3.1681366396820316e-4,0.9999222311562294,16,32,monosaccharide biosynthetic process,BP,0.0317336069477938,small molecule metabolic process,Late,50
GO:0002252,3.486258167469242e-4,0.9997799148623956,104,349,immune effector process,BP,0.03455248818505963,immune effector process,Late,29.799426934097422
GO:0098655,3.932176635715952e-4,0.999774868685348,71,225,monoatomic cation transmembrane transport,BP,0.03856605115998286,monoatomic ion transport,Late,31.555555555555554
GO:0048878,4.016899261191213e-4,0.9997313654458004,131,464,chemical homeostasis,BP,0.03919286527849312,glucose homeostasis,Late,28.23275862068966
GO:0033108,4.2157414311639794e-4,0.9998696027668822,20,45,mitochondrial respiratory chain complex assembly,BP,0.04071675499086381,ribosome assembly,Late,44.44444444444444
GO:0071417,4.216327982166875e-4,0.9997482231766284,81,265,cellular response to organonitrogen compound,BP,0.04071675499086381,cellular oxidant detoxification,Late,30.566037735849054
GO:0035864,4.2617650335076353e-4,0.9999395805988452,10,16,response to potassium ion,BP,0.04094555987039912,response to potassium ion,Late,62.5
GO:0044273,4.706098140416599e-4,0.999885513369152,15,30,sulfur compound catabolic process,BP,0.04369897713767051,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",Late,50
GO:0098754,4.8486301033885194e-4,0.9998270963521269,24,58,detoxification,BP,0.04432259877519864,cellular oxidant detoxification,Late,41.37931034482759
GO:0051016,5.010862292754066e-4,0.9999670890017012,7,9,barbed-end actin filament capping,BP,0.04558432262553227,mitochondrial respiratory chain complex I assembly,Late,77.77777777777779
GO:0006164,5.131306189445856e-4,0.9997695672986088,36,99,purine nucleotide biosynthetic process,BP,0.04625459802974797,organonitrogen compound biosynthetic process,Late,36.36363636363637
GO:1902600,5.208865481599793e-4,0.9998181455834348,23,55,proton transmembrane transport,BP,0.04670864089714558,monoatomic ion transport,Late,41.81818181818181
GO:0071331,5.278718153060336e-4,0.999827452047642,21,48,cellular response to hexose stimulus,BP,0.04688846299069772,cellular oxidant detoxification,Late,43.75
GO:0071333,5.278718153060336e-4,0.999827452047642,21,48,cellular response to glucose stimulus,BP,0.04688846299069772,cellular oxidant detoxification,Late,43.75
GO:0006812,5.36682669832559e-4,0.9996674723791668,90,301,monoatomic cation transport,BP,0.04700591328193916,monoatomic ion transport,Late,29.900332225913623
