"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0005615",0.018358711623472,0.996214551730392,7,12,"extracellular space","CC"
"GO:0005886",0.0497236618872786,0.983336802932022,8,19,"plasma membrane","CC"
"GO:0005201",4.60786339135841e-08,0.999999997411348,17,20,"extracellular matrix structural constituent","MF"
"GO:0043565",5.77092232524206e-05,0.999983540791074,22,52,"sequence-specific DNA binding","MF"
"GO:0005044",5.87429763423062e-05,0.99999087989224,14,22,"scavenger receptor activity","MF"
"GO:0004553",0.000283005503377632,0.999955098868388,11,19,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF"
"GO:0008234",0.000374063511152805,0.999921127920161,13,26,"cysteine-type peptidase activity","MF"
"GO:0004252",0.000869535168487099,0.999705351271346,20,49,"serine-type endopeptidase activity","MF"
"GO:0004089",0.00133044666364029,0.999808998229618,8,14,"carbonate dehydratase activity","MF"
"GO:0005509",0.0016932156135728,0.998901985236184,88,307,"calcium ion binding","MF"
"GO:0004714",0.00209771070193589,0.999910283728109,5,6,"transmembrane receptor protein tyrosine kinase activity","MF"
"GO:0008270",0.00275759315320607,0.998168799677676,88,326,"zinc ion binding","MF"
"GO:0020037",0.00428236845763256,0.998062580036584,25,72,"heme binding","MF"
"GO:0003700",0.00770202320861812,0.996199311394756,26,86,"DNA-binding transcription factor activity","MF"
"GO:0042626",0.00807595010387075,0.997040183020368,15,38,"ATPase activity, coupled to transmembrane movement of substances","MF"
"GO:0022857",0.0123049574876293,0.994064275676312,22,72,"transmembrane transporter activity","MF"
"GO:0016829",0.0133985411998929,0.998110408311319,5,9,"lyase activity","MF"
"GO:0003951",0.0143470162561085,0.999129251666042,4,5,"NAD+ kinase activity","MF"
"GO:0003774",0.01641292088932,0.995202401810124,10,20,"motor activity","MF"
"GO:0005319",0.0180379426513739,0.998818160077677,4,5,"lipid transporter activity","MF"
"GO:0008171",0.0211508774653763,0.998879365396038,3,4,"O-methyltransferase activity","MF"
"GO:0046872",0.0217778008595969,0.985994583047989,46,173,"metal ion binding","MF"
"GO:0005164",0.0261289130464195,0.997158555784066,4,6,"tumor necrosis factor receptor binding","MF"
"GO:0016849",0.0273346561103308,0.996981679560574,4,6,"phosphorus-oxygen lyase activity","MF"
"GO:0030414",0.0292425609744219,0.997735261659447,4,5,"peptidase inhibitor activity","MF"
"GO:0004601",0.0297901008342601,0.994753389288911,5,9,"peroxidase activity","MF"
"GO:0004713",0.0306092880657474,0.988424470807507,11,29,"protein tyrosine kinase activity","MF"
"GO:0004930",0.0322216245697765,0.981712826226408,26,91,"G protein-coupled receptor activity","MF"
"GO:0004859",0.0334928580932444,1,2,2,"phospholipase inhibitor activity","MF"
"GO:0003870",0.0335057205297812,1,2,2,"5-aminolevulinate synthase activity","MF"
"GO:0004459",0.0335513632762872,1,2,2,"L-lactate dehydrogenase activity","MF"
"GO:0005515",0.0340638312374074,0.9704425342449,394,1726,"protein binding","MF"
"GO:0008890",0.0343717923542194,1,2,2,"glycine C-acetyltransferase activity","MF"
"GO:0003810",0.0344540999782861,0.997762960279531,3,4,"protein-glutamine gamma-glutamyltransferase activity","MF"
"GO:0004648",0.0347498571979393,1,2,2,"O-phospho-L-serine:2-oxoglutarate aminotransferase activity","MF"
"GO:0003987",0.0349136062988065,1,2,2,"acetate-CoA ligase activity","MF"
"GO:0016208",0.0349136062988065,1,2,2,"AMP binding","MF"
"GO:0016702",0.0370927824474697,0.990604691006062,6,14,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","MF"
"GO:0030246",0.0372806949817745,0.985961298561504,10,28,"carbohydrate binding","MF"
"GO:0016980",0.038110667272837,1,2,2,"creatinase activity","MF"
"GO:0004623",0.0419915092761076,0.992991495865835,4,8,"phospholipase A2 activity","MF"
"GO:0008061",0.0420434677003919,0.989731768600127,6,12,"chitin binding","MF"
"GO:0046873",0.0442387328497226,0.990170139637923,5,11,"metal ion transmembrane transporter activity","MF"
"GO:0016705",0.0458879031713228,0.979092895199826,13,42,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF"
"GO:0004499",0.0460857608985977,0.995158789358738,3,5,"N,N-dimethylaniline monooxygenase activity","MF"
"GO:0005506",0.0463246583263786,0.976384682990262,17,56,"iron ion binding","MF"
"GO:0005007",0.0487161828376039,1,2,2,"fibroblast growth factor-activated receptor activity","MF"
"unknown",8.15213900518593e-13,1,150,477,NA,NA
