Date,dpf,Stage,Run ,Sample.ID,Chamber.ID,Salinity,Volume,Type,Org.Number,Notes,Plate,AH Notes
20201113,4,Larvae,3-641,4,A4,34,0.00008,Sample,6,,641,
20201113,4,Larvae,3-641,5,A5,34,0.00008,Sample,6,,641,
20201113,4,Larvae,3-641,6,A6,34,0.00008,Sample,6,,641,
20201113,4,Larvae,3-641,7,B1,34,0.00008,Sample,6,,641,
20201113,4,Larvae,3-641,8,B2,34,0.00008,Sample,6,,641,
20201113,4,Larvae,3-641,9,B3,34,0.00008,Blank,NA,,641,
20201113,4,Larvae,3-641,10,B4,34,0.00008,Sample,6,,641,
20201113,4,Larvae,3-641,11,B5,34,0.00008,Sample,6,,641,
20201113,4,Larvae,3-641,12,B6,34,0.00008,NA,NA,broken sensor,641,
20201113,4,Larvae,3-641,13,C1,34,0.00008,Sample,6,,641,
20201113,4,Larvae,3-641,14,C2,34,0.00008,Blank,NA,,641,
20201113,4,Larvae,3-641,15,C3,34,0.00008,Sample,6,,641,
20201113,4,Larvae,3-641,16,C4,34,0.00008,Sample,6,,641,
20201113,4,Larvae,3-641,17,C5,34,0.00008,Sample,6,,641,
20201113,4,Larvae,3-641,18,C6,34,0.00008,Sample,6,,641,
20201113,4,Larvae,3-641,19,D1,34,0.00008,Sample,6,,641,
20201113,4,Larvae,3-641,20,D2,34,0.00008,NA,NA,Cover slip slid off and larvae swam out (12:00),641,
20201113,4,Larvae,3-641,21,D3,34,0.00008,Sample,6,,641,
20201113,4,Larvae,3-641,22,D4,34,0.00008,Sample,6,,641,
20201113,4,Larvae,3-641,23,D5,34,0.00008,Sample,6,,641,
20201113,4,Larvae,3-641,24,D6,34,0.00008,Blank,NA,,641,
20201113,4,Larvae,3-710,1,A1,34,0.00008,Sample,6,,710,
20201113,4,Larvae,3-710,2,A2,34,0.00008,Sample,6,,710,
20201113,4,Larvae,3-710,3,A3,34,0.00008,Sample,NA,,710,
20201113,4,Larvae,3-710,4,A4,34,0.00008,Sample,6,,710,
20201113,4,Larvae,3-710,5,A5,34,0.00008,Sample,6,,710,
20201113,4,Larvae,3-710,6,A6,34,0.00008,Sample,6,,710,
20201113,4,Larvae,3-710,7,B1,34,0.00008,Sample,6,,710,
20201113,4,Larvae,3-710,8,B2,34,0.00008,Blank,NA,,710,
20201113,4,Larvae,3-710,9,B3,34,0.00008,Sample,6,,710,
20201113,4,Larvae,3-710,10,B4,34,0.00008,Sample,6,,710,
20201113,4,Larvae,3-710,11,B5,34,0.00008,Sample,6,,710,
20201113,4,Larvae,3-710,12,B6,34,0.00008,Sample,6,,710,
20201113,4,Larvae,3-710,13,C1,34,0.00008,Sample,6,,710,
20201113,4,Larvae,3-710,14,C2,34,0.00008,Sample,6,,710,
20201113,4,Larvae,3-710,15,C3,34,0.00008,Sample,6,,710,
20201113,4,Larvae,3-710,16,C4,34,0.00008,Blank,NA,,710,
20201113,4,Larvae,3-710,17,C5,34,0.00008,Sample,6,,710,
20201113,4,Larvae,3-710,18,C6,34,0.00008,Sample,6,,710,
20201113,4,Larvae,3-710,19,D1,34,0.00008,Sample,6,,710,
20201113,4,Larvae,3-710,20,D2,34,0.00008,Blank,6,,710,
20201113,4,Larvae,3-710,21,D3,34,0.00008,Sample,6,,710,
20201113,4,Larvae,3-710,22,D4,34,0.00008,Sample,6,,710,
20201113,4,Larvae,3-710,23,D5,34,0.00008,Blank,NA,,710,
20201113,4,Larvae,3-710,24,D6,34,0.00008,Sample,6,,710,
20201116,7,Larvae,4-641,1,A1,34,0.00008,Sample,6,,641,
20201116,7,Larvae,4-641,2,A2,34,0.00008,Sample,6,,641,
20201116,7,Larvae,4-641,3,A3,34,0.00008,Sample,6,,641,
20201116,7,Larvae,4-641,4,A4,34,0.00008,Sample,6,,641,
20201116,7,Larvae,4-641,5,A5,34,0.00008,Sample,6,,641,
20201116,7,Larvae,4-641,6,A6,34,0.00008,Blank,NA,,641,
20201116,7,Larvae,4-641,7,B1,34,0.00008,Sample,6,,641,
20201116,7,Larvae,4-641,8,B2,34,0.00008,Sample,6,,641,
20201116,7,Larvae,4-641,9,B3,34,0.00008,Sample,6,,641,
20201116,7,Larvae,4-641,10,B4,34,0.00008,Sample,6,,641,
20201116,7,Larvae,4-641,11,B5,34,0.00008,Sample,6,,641,
20201116,7,Larvae,4-641,12,B6,34,0.00008,NA,NA,broken sensor,641,
20201116,7,Larvae,4-641,13,C1,34,0.00008,Sample,6,,641,
20201116,7,Larvae,4-641,14,C2,34,0.00008,Sample,6,,641,
20201116,7,Larvae,4-641,15,C3,34,0.00008,Sample,6,,641,
20201116,7,Larvae,4-641,16,C4,34,0.00008,Blank,NA,,641,
20201116,7,Larvae,4-641,17,C5,34,0.00008,Blank,NA,,641,
20201116,7,Larvae,4-641,18,C6,34,0.00008,Sample,6,,641,
20201116,7,Larvae,4-641,19,D1,34,0.00008,Sample,6,,641,
20201116,7,Larvae,4-641,20,D2,34,0.00008,NA,NA,Cover slip slid off and larvae swam out (12:00),641,
20201116,7,Larvae,4-641,21,D3,34,0.00008,Sample,6,,641,
20201116,7,Larvae,4-641,22,D4,34,0.00008,Sample,6,,641,
20201116,7,Larvae,4-641,23,D5,34,0.00008,Sample,6,,641,
20201116,7,Larvae,4-641,24,D6,34,0.00008,Blank,NA,,641,
20201116,7,Larvae,4-710,1,A1,34,0.00008,Blank,NA,,710,
20201116,7,Larvae,4-710,2,A2,34,0.00008,Blank,NA,,710,
20201116,7,Larvae,4-710,3,A3,34,0.00008,Sample,6,,710,
20201116,7,Larvae,4-710,4,A4,34,0.00008,Sample,6,,710,
20201116,7,Larvae,4-710,5,A5,34,0.00008,Sample,6,,710,
20201116,7,Larvae,4-710,6,A6,34,0.00008,Sample,6,,710,
20201116,7,Larvae,4-710,7,B1,34,0.00008,Sample,6,,710,
20201116,7,Larvae,4-710,8,B2,34,0.00008,Sample,6,,710,
20201116,7,Larvae,4-710,9,B3,34,0.00008,Sample,6,,710,
20201116,7,Larvae,4-710,10,B4,34,0.00008,Sample,6,,710,
20201116,7,Larvae,4-710,11,B5,34,0.00008,Sample,6,,710,
20201116,7,Larvae,4-710,12,B6,34,0.00008,Sample,6,,710,
20201116,7,Larvae,4-710,13,C1,34,0.00008,Sample,6,,710,
20201116,7,Larvae,4-710,14,C2,34,0.00008,Sample,6,,710,
20201116,7,Larvae,4-710,15,C3,34,0.00008,Blank,NA,,710,
20201116,7,Larvae,4-710,16,C4,34,0.00008,Sample,6,,710,
20201116,7,Larvae,4-710,17,C5,34,0.00008,Sample,6,,710,
20201116,7,Larvae,4-710,18,C6,34,0.00008,Sample,6,,710,
20201116,7,Larvae,4-710,19,D1,34,0.00008,Sample,6,,710,
20201116,7,Larvae,4-710,20,D2,34,0.00008,Sample,6,,710,
20201116,7,Larvae,4-710,21,D3,34,0.00008,Sample,6,,710,
20201116,7,Larvae,4-710,22,D4,34,0.00008,Blank,NA,,710,
20201116,7,Larvae,4-710,23,D5,34,0.00008,Sample,6,,710,
20201116,7,Larvae,4-710,24,D6,34,0.00008,Sample,6,,710,
