GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust,ParentTerm,pattern,percHits
GO:0009893,2.2072706672188888e-14,1,448,1431,positive regulation of metabolic process,BP,4.567594937846032e-12,positive regulation of cellular process,Early,31.3067784765898
GO:0010605,3.525226646110256e-14,1,372,1149,negative regulation of macromolecule metabolic process,BP,7.138015373430348e-12,negative regulation of cellular process,Early,32.375979112271544
GO:0046483,7.449817925011584e-14,1,540,1793,heterocycle metabolic process,BP,1.4924204398499267e-11,nucleic acid metabolic process,Early,30.117122141662016
GO:0040029,8.003369174908399e-14,1,89,185,epigenetic regulation of gene expression,BP,1.586436262449474e-11,chromatin organization,Early,48.10810810810811
GO:0045786,8.453673658488188e-14,1,133,319,negative regulation of cell cycle,BP,1.6582409235728232e-11,cell cycle,Early,41.692789968652036
GO:0006725,2.858782297756361e-13,1,545,1825,cellular aromatic compound metabolic process,BP,5.493237698882657e-11,macromolecule metabolic process,Early,29.863013698630137
GO:0006396,3.224343766872169e-13,1,206,566,RNA processing,BP,6.133092674138363e-11,nucleic acid metabolic process,Early,36.39575971731448
GO:0006357,6.460670353748962e-13,1,287,856,regulation of transcription by RNA polymerase II,BP,1.2166088343144668e-10,nucleic acid metabolic process,Early,33.52803738317757
GO:0010628,8.404735039633098e-13,1,279,829,positive regulation of gene expression,BP,1.5670254013003055e-10,positive regulation of cellular process,Early,33.65500603136309
GO:0000375,1.0454978413959485e-12,1,110,255,"RNA splicing, via transesterification reactions",BP,1.9301735148359902e-10,nucleic acid metabolic process,Early,43.13725490196079
GO:0000280,1.5943640446280205e-12,1,111,260,nuclear division,BP,2.886872050422139e-10,organelle organization,Early,42.69230769230769
GO:0000377,2.033697869510977e-12,1,108,251,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",BP,3.6128834510152067e-10,nucleic acid metabolic process,Early,43.02788844621514
GO:0000398,2.033697869510977e-12,1,108,251,"mRNA splicing, via spliceosome",BP,3.6128834510152067e-10,nucleic acid metabolic process,Early,43.02788844621514
GO:0006338,2.795160260828248e-12,1,61,114,chromatin remodeling,BP,4.828959896482267e-10,chromatin organization,Early,53.50877192982456
GO:0071840,2.9085022829498173e-12,1,788,2825,cellular component organization or biogenesis,BP,4.979091499111636e-10,organelle organization,Early,27.893805309734514
GO:0045930,3.8992518812252484e-12,1,82,175,negative regulation of mitotic cell cycle,BP,6.555965372799343e-10,cell cycle,Early,46.85714285714286
GO:0048285,4.554561811963718e-12,1,114,273,organelle fission,BP,7.457995954877283e-10,organelle organization,Early,41.75824175824176
GO:0008380,5.049907415216225e-12,1,115,276,RNA splicing,BP,8.197828149649719e-10,nucleic acid metabolic process,Early,41.66666666666667
GO:1901360,5.53243660648752e-12,1,559,1908,organic cyclic compound metabolic process,BP,8.90438578946722e-10,macromolecule metabolic process,Early,29.297693920335433
GO:0007059,6.758103269614643e-12,1,88,194,chromosome segregation,BP,1.0784901921196043e-9,cell cycle,Early,45.36082474226804
GO:0032502,7.213305741939099e-12,1,761,2724,developmental process,BP,1.1414601716508838e-9,developmental process,Early,27.936857562408225
GO:1902680,1.1848853603163272e-11,1,225,652,positive regulation of RNA biosynthetic process,BP,1.8288996901735047e-9,positive regulation of cellular process,Early,34.50920245398773
GO:0009987,1.2431356604745151e-11,1,1311,5060,cellular process,BP,1.9032103758045202e-9,cellular process,Early,25.90909090909091
GO:0010557,1.2682133038693672e-11,1,263,789,positive regulation of macromolecule biosynthetic process,BP,1.9259455423519404e-9,positive regulation of cellular process,Early,33.33333333333333
GO:0007275,1.4237754758170049e-11,1,689,2439,multicellular organism development,BP,2.1448892788088013e-9,developmental process,Early,28.24928249282493
GO:0016043,1.5257052813143844e-11,1,751,2693,cellular component organization,BP,2.2802028692405694e-9,organelle organization,Early,27.887114741923508
GO:1902275,2.0865196368965745e-11,1,69,141,regulation of chromatin organization,BP,3.093799313574755e-9,chromatin organization,Early,48.93617021276596
GO:0051253,2.1458654344090525e-11,1,196,553,negative regulation of RNA metabolic process,BP,3.156936874637255e-9,negative regulation of cellular process,Early,35.44303797468354
GO:1903311,2.8805213126622127e-11,1,77,165,regulation of mRNA metabolic process,BP,4.204891227809467e-9,mRNA processing,Early,46.666666666666664
GO:1901990,3.7234746369555136e-11,1,98,230,regulation of mitotic cell cycle phase transition,BP,5.352423731947274e-9,cell cycle,Early,42.608695652173914
GO:0000070,3.9995006620036386e-11,1,57,109,mitotic sister chromatid segregation,BP,5.705651285317464e-9,organelle organization,Early,52.293577981651374
GO:0051246,4.5598299143793985e-11,1,364,1174,regulation of protein metabolic process,BP,6.4561020389231925e-9,regulation of nucleobase-containing compound metabolic process,Early,31.005110732538334
GO:0048856,6.182725325306795e-11,1,728,2614,anatomical structure development,BP,8.688574671705393e-9,developmental process,Early,27.850038255547055
GO:0031328,7.718881447728528e-11,1,270,827,positive regulation of cellular biosynthetic process,BP,1.0766981966087104e-8,positive regulation of cellular process,Early,32.64812575574365
GO:0006260,9.108371818470307e-11,1,71,151,DNA replication,BP,1.2611746302471645e-8,DNA metabolic process,Early,47.019867549668874
GO:0010948,9.259886786526094e-11,1,86,196,negative regulation of cell cycle process,BP,1.2727950954530869e-8,cell cycle,Early,43.87755102040816
GO:0009891,1.549748905844701e-10,1,273,843,positive regulation of biosynthetic process,BP,2.089118273906658e-8,positive regulation of cellular process,Early,32.38434163701068
GO:0071103,1.5531653037381555e-10,0.9999999999584652,81,181,DNA conformation change,BP,2.089118273906658e-8,chromosome organization,Early,44.751381215469614
GO:0000819,1.8808510729036544e-10,0.999999999956544,61,123,sister chromatid segregation,BP,2.5119366350247315e-8,cell cycle,Early,49.59349593495935
GO:0045814,1.9481692406777247e-10,0.9999999999677308,40,67,"negative regulation of gene expression, epigenetic",BP,2.583519364169171e-8,chromatin organization,Early,59.70149253731343
GO:0006281,2.1789266713597071e-10,1,110,275,DNA repair,BP,2.8494005658593503e-8,DNA damage response,Early,40
GO:0045893,2.391410200933672e-10,1,208,610,positive regulation of DNA-templated transcription,BP,3.08442777354671e-8,positive regulation of cellular process,Early,34.0983606557377
GO:0051052,2.4091124386307293e-10,1,98,237,regulation of DNA metabolic process,BP,3.0861221994459364e-8,DNA metabolic process,Early,41.35021097046413
GO:0016071,2.489612528373766e-10,1,160,442,mRNA metabolic process,BP,3.167695508230162e-8,mRNA processing,Early,36.199095022624434
GO:0098813,2.6550597953084604e-10,0.9999999999306424,75,165,nuclear chromosome segregation,BP,3.355532282245209e-8,cell cycle,Early,45.45454545454545
GO:0033554,2.839924558921523e-10,1,303,960,cellular response to stress,BP,3.56524129127008e-8,DNA damage response,Early,31.5625
GO:1901987,3.73535132443732e-10,1,102,251,regulation of cell cycle phase transition,BP,4.658304688111203e-8,cell cycle,Early,40.63745019920319
GO:0043412,1.129449431635805e-9,1,418,1410,macromolecule modification,BP,1.3721717578796034e-7,macromolecule modification,Early,29.645390070921984
GO:2001251,1.8224357738229638e-9,0.9999999995378924,48,92,negative regulation of chromosome organization,BP,2.173742693195642e-7,chromosome organization,Early,52.17391304347826
GO:1901991,1.8238614280968155e-9,0.9999999994791368,53,106,negative regulation of mitotic cell cycle phase transition,BP,2.173742693195642e-7,cell cycle,Early,50
GO:0048583,2.11913248461959e-9,1,455,1563,regulation of response to stimulus,BP,2.4872732338256556e-7,DNA damage response,Early,29.110684580934098
GO:0018205,2.1265519125162262e-9,0.9999999992753038,68,149,peptidyl-lysine modification,BP,2.4872732338256556e-7,macromolecule modification,Early,45.63758389261745
GO:0032501,2.5559325674536642e-9,1,789,2911,multicellular organismal process,BP,2.971034949241972e-7,multicellular organismal process,Early,27.104087942287876
GO:0065009,4.187330889603212e-9,1,360,1200,regulation of molecular function,BP,4.7216543701867114e-7,regulation of molecular function,Early,30
GO:1902679,4.336254476148781e-9,1,174,507,negative regulation of RNA biosynthetic process,BP,4.831716452092172e-7,negative regulation of cellular process,Early,34.319526627218934
GO:0006302,5.025400213316974e-9,0.9999999984219178,56,117,double-strand break repair,BP,5.534111778770289e-7,DNA metabolic process,Early,47.863247863247864
GO:0045892,7.205806784771477e-9,1,170,496,negative regulation of DNA-templated transcription,BP,7.889101602559982e-7,negative regulation of cellular process,Early,34.274193548387096
GO:0051983,1.1583122854410518e-8,0.9999999966510724,48,96,regulation of chromosome segregation,BP,1.2323264772395732e-6,cell cycle,Early,50
GO:0006807,1.3339550753379437e-8,1,873,3279,nitrogen compound metabolic process,BP,1.4112195518926302e-6,macromolecule metabolic process,Early,26.623970722781337
GO:0018193,1.3525464703041056e-8,1,146,416,peptidyl-amino acid modification,BP,1.4228939990109838e-6,macromolecule modification,Early,35.09615384615385
GO:0140014,1.3946933758052436e-8,0.9999999949471832,65,146,mitotic nuclear division,BP,1.4590817199882524e-6,organelle organization,Early,44.52054794520548
GO:0022414,1.5178795473467142e-8,1,346,1160,reproductive process,BP,1.579181754479888e-6,reproductive process,Early,29.82758620689655
GO:0000003,1.542332876239217e-8,1,355,1195,reproduction,BP,1.5958060655198183e-6,reproductive process,Early,29.707112970711297
GO:0031399,1.7318668689752e-8,1,247,784,regulation of protein modification process,BP,1.772433967916956e-6,regulation of nucleobase-containing compound metabolic process,Early,31.505102040816325
GO:0010629,2.112759307720984e-8,1,250,796,negative regulation of gene expression,BP,2.1389984152523574e-6,negative regulation of cellular process,Early,31.4070351758794
GO:1901988,2.2545459263895313e-8,0.9999999926299126,54,115,negative regulation of cell cycle phase transition,BP,2.2588544543699296e-6,cell cycle,Early,46.95652173913044
GO:0034641,2.2551358792498898e-8,1,561,2008,cellular nitrogen compound metabolic process,BP,2.2588544543699296e-6,macromolecule metabolic process,Early,27.93824701195219
GO:0000075,3.0682768397453776e-8,0.9999999892055526,59,131,cell cycle checkpoint signaling,BP,3.0250639355625753e-6,cell cycle,Early,45.038167938931295
GO:0043414,5.4689638554569185e-8,0.9999999798935608,61,138,macromolecule methylation,BP,5.3085597093870735e-6,macromolecule methylation,Early,44.20289855072464
GO:0007276,6.016553364054324e-8,1,245,788,gamete generation,BP,5.780495734617703e-6,reproductive process,Early,31.091370558375637
GO:0044238,6.128524796345105e-8,1,904,3432,primary metabolic process,BP,5.858185301521557e-6,macromolecule metabolic process,Early,26.340326340326342
GO:0036211,1.0797830279670685e-7,1,376,1295,protein modification process,BP,1.02177860299738e-5,macromolecule modification,Early,29.034749034749037
GO:0051053,1.2127272437062078e-7,0.9999999643790176,42,85,negative regulation of DNA metabolic process,BP,1.139862506027101e-5,DNA metabolic process,Early,49.411764705882355
GO:0009790,1.216676563705843e-7,1,265,870,embryo development,BP,1.139862506027101e-5,multicellular organismal process,Early,30.45977011494253
GO:0050684,1.4376173121597245e-7,0.9999999522667782,49,105,regulation of mRNA processing,BP,1.3401867131326617e-5,mRNA processing,Early,46.666666666666664
GO:0044237,1.7364321292863736e-7,1,923,3529,cellular metabolic process,BP,1.610776030866586e-5,macromolecule metabolic process,Early,26.154718050439218
GO:0061013,1.790044552565135e-7,0.9999999495854558,39,77,regulation of mRNA catabolic process,BP,1.6523690671251986e-5,mRNA processing,Early,50.649350649350644
GO:0051321,1.8180019251700682e-7,1,86,225,meiotic cell cycle,BP,1.6699899635550026e-5,reproductive process,Early,38.22222222222222
GO:0030261,2.1210123171462057e-7,0.9999999482084364,33,61,chromosome condensation,BP,1.9388729584553492e-5,chromosome organization,Early,54.09836065573771
GO:0010639,2.1887038566362977e-7,1,91,242,negative regulation of organelle organization,BP,1.991086102624064e-5,chromosome organization,Early,37.60330578512397
GO:0048731,2.571693608429368e-7,1,566,2065,system development,BP,2.328248189439107e-5,multicellular organismal process,Early,27.409200968523002
GO:0006305,2.697186245327125e-7,0.9999999565372762,23,36,DNA alkylation,BP,2.4186054374169093e-5,DNA metabolic process,Early,63.888888888888886
GO:0006306,2.697186245327125e-7,0.9999999565372762,23,36,DNA methylation,BP,2.4186054374169093e-5,DNA metabolic process,Early,63.888888888888886
GO:0007292,3.0800877574704274e-7,1,157,476,female gamete generation,BP,2.7488688417500297e-5,reproductive process,Early,32.983193277310924
GO:0051716,3.2227229957599825e-7,1,573,2097,cellular response to stimulus,BP,2.849159471040199e-5,DNA damage response,Early,27.32474964234621
GO:0022412,3.767579926662177e-7,1,207,662,cellular process involved in reproduction in multicellular organism,BP,3.315294280325956e-5,reproductive process,Early,31.268882175226587
GO:0080135,4.176291077979191e-7,1,126,366,regulation of cellular response to stress,BP,3.640913763399359e-5,DNA damage response,Early,34.42622950819672
GO:0045787,4.493638088775324e-7,1,96,262,positive regulation of cell cycle,BP,3.881637561914134e-5,cell cycle,Early,36.6412213740458
GO:0007093,4.622232283862157e-7,0.999999841728932,47,103,mitotic cell cycle checkpoint signaling,BP,3.957141770168423e-5,cell cycle,Early,45.63106796116505
GO:1902531,4.659198006447769e-7,1,225,731,regulation of intracellular signal transduction,BP,3.97001618368407e-5,regulation of intracellular signal transduction,Early,30.779753761969904
GO:0140013,4.833308259414994e-7,0.999999798974703,65,158,meiotic nuclear division,BP,4.099821073560529e-5,reproductive process,Early,41.139240506329116
GO:0043487,5.251968056302211e-7,0.999999852567858,36,71,regulation of RNA stability,BP,4.4349690792926874e-5,regulation of nucleobase-containing compound metabolic process,Early,50.70422535211267
GO:0019953,6.080465580503804e-7,1,259,863,sexual reproduction,BP,5.08894432650965e-5,reproductive process,Early,30.011587485515644
GO:0033045,6.265561711057144e-7,0.9999998099946674,39,80,regulation of sister chromatid segregation,BP,5.197656060833352e-5,chromosome organization,Early,48.75
GO:0051129,6.362244196301138e-7,1,139,416,negative regulation of cellular component organization,BP,5.25471142370819e-5,chromosome organization,Early,33.41346153846153
GO:0051248,7.169585177246752e-7,1,157,482,negative regulation of protein metabolic process,BP,5.8956532084163136e-5,regulation of nucleobase-containing compound metabolic process,Early,32.572614107883815
GO:0006403,8.021697128328027e-7,0.99999964686907294,70,176,RNA localization,BP,6.539245827859095e-5,RNA localization,Early,39.77272727272727
GO:0043484,8.107734331736612e-7,0.9999997231512354,45,98,regulation of RNA splicing,BP,6.58089418969535e-5,nucleic acid metabolic process,Early,45.91836734693878
GO:1903313,8.778045059836931e-7,0.9999998059561288,27,48,positive regulation of mRNA metabolic process,BP,7.064075492384155e-5,mRNA processing,Early,56.25
GO:2001252,9.166064035312936e-7,0.9999996355004418,57,135,positive regulation of chromosome organization,BP,7.313819993600759e-5,chromosome organization,Early,42.22222222222222
GO:0033047,1.1172564646088146e-6,0.9999997109131262,31,59,regulation of mitotic sister chromatid segregation,BP,8.877239023227252e-5,chromosome organization,Early,52.54237288135594
GO:0032504,1.1353317316863025e-6,0.9999995360267192,274,922,multicellular organism reproduction,BP,8.982954554363346e-5,reproductive process,Early,29.718004338394792
GO:0048024,1.292659845782619e-6,0.9999996071519562,37,76,"regulation of mRNA splicing, via spliceosome",BP,1.0184969688674684e-4,mRNA processing,Early,48.68421052631579
GO:0009966,1.457166702119352e-6,0.9999991940363244,355,1236,regulation of signal transduction,BP,1.1433294236503966e-4,regulation of intracellular signal transduction,Early,28.72168284789644
GO:0043488,1.4882307891486545e-6,0.9999995846873926,33,65,regulation of mRNA stability,BP,1.1628578419277308e-4,mRNA processing,Early,50.76923076923077
GO:0010389,1.5147781947021515e-6,0.9999994499585112,47,106,regulation of G2/M transition of mitotic cell cycle,BP,1.173859596067334e-4,cell cycle,Early,44.339622641509436
GO:0048609,1.5255707158213998e-6,0.9999991793968972,271,911,multicellular organismal reproductive process,BP,1.1773779569521631e-4,reproductive process,Early,29.747530186608124
GO:0032259,1.6338833990340808e-6,0.9999992926197888,64,159,methylation,BP,1.2415898453055783e-4,macromolecule methylation,Early,40.25157232704403
GO:1903046,1.9404211705016515e-6,0.999999363390427,77,204,meiotic cell cycle process,BP,1.450002819909389e-4,reproductive process,Early,37.745098039215684
GO:0050790,1.980870082459733e-6,0.999998931298744,271,912,regulation of catalytic activity,BP,1.4743780443794165e-4,regulation of molecular function,Early,29.714912280701753
GO:0048869,2.358134698370971e-6,0.9999984983596608,501,1821,cellular developmental process,BP,1.7482690750009354e-4,developmental process,Early,27.51235584843493
GO:0030071,2.630302331395554e-6,0.9999994939347764,22,37,regulation of mitotic metaphase/anaphase transition,BP,1.94240090990234e-4,chromosome organization,Early,59.45945945945946
GO:0031570,2.6901299310882796e-6,0.999999048007886,43,96,DNA integrity checkpoint signaling,BP,1.9788217473563823e-4,cell cycle,Early,44.79166666666667
GO:0043547,2.8048624370452117e-6,0.9999987572087136,64,162,positive regulation of GTPase activity,BP,2.047223432247999e-4,regulation of molecular function,Early,39.50617283950617
GO:0023051,2.854250516279662e-6,0.9999982143293308,392,1388,regulation of signaling,BP,2.075227469963796e-4,regulation of intracellular signal transduction,Early,28.24207492795389
GO:0051783,3.208533977567472e-6,0.9999985817324648,63,159,regulation of nuclear division,BP,2.3149388249644852e-4,organelle organization,Early,39.62264150943396
GO:0007010,3.2637809329651825e-6,0.9999983031564312,194,627,cytoskeleton organization,BP,2.3458114026208912e-4,organelle organization,Early,30.94098883572568
GO:0006304,3.5351106296040926e-6,0.9999990939586608,28,53,DNA modification,BP,2.521578343411919e-4,DNA metabolic process,Early,52.83018867924528
GO:1902749,3.709318331609553e-6,0.9999985546454824,49,115,regulation of cell cycle G2/M phase transition,BP,2.625946372275921e-4,cell cycle,Early,42.608695652173914
GO:0044770,4.2637586170157e-6,0.9999980133963428,69,179,cell cycle phase transition,BP,2.995926810336666e-4,cell cycle,Early,38.547486033519554
GO:0007143,4.513791876435649e-6,0.999998857560558,27,51,female meiotic nuclear division,BP,3.1481190675985076e-4,reproductive process,Early,52.94117647058824
GO:0018393,4.882799306212284e-6,0.9999983592809212,38,82,internal peptidyl-lysine acetylation,BP,3.3680583785818135e-4,macromolecule modification,Early,46.34146341463415
GO:0071704,4.9620475340521645e-6,0.9999963308783208,924,3568,organic substance metabolic process,BP,3.4102305515962153e-4,macromolecule metabolic process,Early,25.89686098654709
GO:0006473,5.044245080942407e-6,0.9999982120161088,41,91,protein acetylation,BP,3.4291761414883203e-4,macromolecule modification,Early,45.05494505494506
GO:0051301,5.389893035168249e-6,0.9999975422278178,95,269,cell division,BP,3.637888019543129e-4,cell division,Early,35.31598513011153
GO:0006310,6.227584432643236e-6,0.999997507969629,49,117,DNA recombination,BP,4.1438742915584725e-4,DNA metabolic process,Early,41.88034188034188
GO:0044703,6.350880154403248e-6,0.9999959373170626,267,908,multi-organism reproductive process,BP,4.2110360629425193e-4,reproductive process,Early,29.405286343612335
GO:0009653,6.934008603189221e-6,0.9999951206536192,390,1389,anatomical structure morphogenesis,BP,4.581554947601973e-4,developmental process,Early,28.077753779697623
GO:0018394,6.987200824548598e-6,0.9999975995213896,38,83,peptidyl-lysine acetylation,BP,4.6005586967508624e-4,macromolecule modification,Early,45.78313253012048
GO:0030154,7.377291300107062e-6,0.9999946233742928,486,1773,cell differentiation,BP,4.840479877084184e-4,developmental process,Early,27.411167512690355
GO:0010646,7.560201986838302e-6,0.999994679959684,386,1374,regulation of cell communication,BP,4.943269569935836e-4,regulation of cell communication,Early,28.093158660844253
GO:0051640,7.826470147469564e-6,0.9999955009361192,139,428,organelle localization,BP,5.08207790851722e-4,organelle localization,Early,32.476635514018696
GO:0007088,9.619917350927452e-6,0.9999959392369548,52,128,regulation of mitotic nuclear division,BP,6.099416284017336e-4,organelle organization,Early,40.625
GO:0007281,1.0035778558739976e-5,0.999993939341486,174,559,germ cell development,BP,6.34173644428297e-4,reproductive process,Early,31.12701252236136
GO:0010965,1.0718810883382643e-5,0.999997500869563,23,42,regulation of mitotic sister chromatid separation,BP,6.750699924581222e-4,cell cycle,Early,54.761904761904766
GO:0090068,1.1339016085024449e-5,0.9999944726639728,70,187,positive regulation of cell cycle process,BP,7.023849075562347e-4,cell cycle,Early,37.4331550802139
GO:0080134,1.2112558689320435e-5,0.9999924485146628,176,567,regulation of response to stress,BP,7.464049456550419e-4,DNA damage response,Early,31.040564373897706
